category,target_url,intent_class,12mo_revenue_proxy_usd,12mo_clicks_gsc,12mo_impressions_gsc,avg_position_gsc,ctr_gsc,seasonality_window,active_product_count,inventory_depth_signal,inventory_age_signal,inventory_driven_opportunity,competitive_difficulty,priority_tier,execution_wave,confidence_label,weighted_score,rationale,notes
England,/collections/england,informational,"n/a per-collection; Apparel category $813,198",79,53522,22.48,0.15%,WC catalyst,44,High,Stable (proxy),No,"Low (DataForSEO KD=5 confirmed)",Tier 1,Wave 3,Medium,71,"DataForSEO KD=5 confirmed [bulk_keyword_difficulty 2026-04-26]; 1,900/mo +175% quarterly +52% yearly [DFS]; 53,522 GSC impressions at pos 22.48 [_top-pages.csv row 175]; growing US Premier League fan base. Wave 3 because: Adidas (official kit) DTC dominance, UK retailer SEO competition, US searcher commercial intent lower than diaspora-driven country pages.","v1.1 SHIFT: Tier 2 Low to Tier 1 Medium (Wave 3). KD-driven upgrade tempered by unmodeled ceilings."
Goalkeeper (cross-collection),"/collections/goalkeeper-jerseys, /collections/goalkeeper-pants, /collections/field-player-gloves, /blogs/goalkeeper/best-goalkeeeper-gloves, /blogs/footwear/best-soccer-cleats-goalkeepers",commercial + transactional,"$80,000-$120,000 reattributed proxy (face-value $53,768 [sales-by-product-type.csv row 6] understated; goalkeeper-tagged products span Apparel and Footwear)",3352 (5-page cluster),512500 (5-page cluster),12.74 (impression-weighted),0.65% (cluster total),Year-round; mild spring spike Feb-May,proxy via collection scan,Medium (inferred),Stable (proxy),Yes (Goal 1 explicit niche),"Medium (best goalkeeper gloves 3,600/mo HIGH competition [DFS]; goalkeeper jerseys 5,400/mo HIGH competition [DFS]; KD not returned; KeeperStop and GK Saviour are niche peers)",Tier 1,Wave 3,Medium,70.25,"Goal 1 explicitly names: ""We have real expertise; most competitors don't"" [06-business-goals.md]; cluster of 5 keeper-related URLs ranking with combined 512,500 impressions [_top-pages.csv rows 9, 11, 13, 47, 74]; Tyler + Jennifer dual-avatar fit (performance + safety). Wave 3 because compounding asset, not WC-catalyst-driven.","Revenue proxy is Medium confidence pending DataFeedWatch product-tag data; v2 firms up revenue figure."
Futsal / Indoor Shoes,/collections/futsal-shoes (and blogs/footwear/best-futsal-shoes-indoor),transactional,"Footwear category $978,690; futsal subset proxy",2227,481463,11.01,0.46%,Winter indoor peak Dec-Jan,proxy via collection scan,Medium-High (inferred),Stable (proxy),No,"Medium (HIGH paid competition; KD not returned by DFS; ProSoccer already ranking)",Tier 1,Wave 3,High,74.75,"best-futsal-shoes blog at 2,227 clicks pos 11.01 is the site's single largest non-brand traffic source [_top-pages.csv row 3]; futsal shoes 14,800/mo volume [DFS]; Tyler-avatar fit; surface-specificity matches High-Performance Expert positioning [00-business-overview.md]. Wave 3 because compounding asset that doesn't tie to WC catalyst window.","Year-round compounding asset; Wave 3 placement reflects timing not priority."
South Korea,/collections/south-korea,informational + transactional + commercial,"n/a per-collection; Apparel category $813,198",642,49456,12.61,1.3%,WC catalyst + year-round Korean-American demand,18,Medium (marginal pass on 15-product gate),Stable (proxy),No,"Low (DataForSEO KD=3 confirmed; volume 3,600/mo +125% yearly)",Tier 1,Wave 3,Medium (override; score 64 sub-threshold),64,"Score-based: Tier 2 (sub-70 threshold). Override factors: DataForSEO KD=3 confirmed (lowest difficulty in entire batch); 1.3% CTR is best of any country page [Phase 2 Task 2]; pos 12.61 with 49,456 impressions; +125% yearly volume trend; Mike's strategic call to retain in Tier 1 hierarchy. Wave 3 = lower priority within Tier 1.","Sprint-eligible per Mike but Wave 3 placement reflects 'lower priority within Tier 1' framing."
Player-Spotlight Template (Messi-Argentina test),/collections/messi-argentina-jersey (proposed; net-new page),commercial + transactional,"n/a per-template; depends on test outcome","791 (Lamine Yamal anchor only)","118,981 (Lamine Yamal anchor only)",10.38 (Lamine Yamal anchor),0.66% (Lamine Yamal anchor),Player form + transfers + tournaments,"varies by player; Messi-Argentina inventory assumed deep",Medium (inferred),Stable (proxy),Yes (Carlos and Tyler avatar fit),"Medium-Low (Lamine Yamal volume 33,100/mo; Messi Argentina 49,500/mo; KD not returned by DFS)",Hypothesis,Hypothesis test (Q3 build, 60-day measure),"Medium-High in test design; Low in scaling assumption",68.25,"One validated proof point: /collections/lamine-yamal-jersey-fc-barcelona-spain at 791 clicks pos 10.38 with 118,981 impressions outperforms every national team page [_top-pages.csv row 14; seo-findings.md 2026-04-21]. Test page: Messi-Argentina (49,500/mo volume; reigning WC champion; Messi MLS presence creates US relevance). Measure 60 days post-launch; promote to Tier 1 if template generalizes.","Vinicius-Brazil is v2 test if Messi proves generalization. Norway-Haaland is v3 candidate (DFS shows +494% yearly trend on norway jersey)."
Belgium,/collections/belgium,informational,"n/a per-collection; Apparel category $813,198",83,49840,18.35,0.17%,WC catalyst,30,High,Stable (proxy),No,"Medium (inferred; volume 1,300/mo +400% quarterly +340% yearly per DFS,exceptional trend slope)",Tier 2,Q3+ optimization,Medium-High,61.5,"v1.1 SHIFT: Tier 2 Low to Tier 2 Medium-High driven by exceptional +400% quarterly +340% yearly trend [DFS]. 49,840 impressions at pos 18.35 [_top-pages.csv row 166]; 30 products; CTR is the primary lever once volume materializes.","Catalyst slope is exceptional even if absolute volume is modest. Watch for Q3 promotion to Tier 1 if trend sustains."
Jamaica (NEW v1.1),/collections/jamaica,commercial,"n/a per-collection; Apparel category $813,198",26,7640,20.36,0.34%,Caribbean diaspora year-round,30,High,Stable (proxy),No,"Medium (inferred; volume 2,400/mo +238% quarterly per DFS)",Tier 2,Q3+ optimization,Medium,59,"NEW IN v1.1. 30 products [Phase 2 Task 1]; 26 GSC clicks at pos 20.36 [_top-pages.csv row 473]; 2,400/mo +238% quarterly +83% yearly [DFS]; Caribbean diaspora; LA has strong Caribbean presence.","Title is 84 chars per Phase 2 Task 1; flag for VERITAS title-length cleanup."
Norway (NEW v1.1),/collections/norway,informational + commercial,"n/a per-collection; Apparel category $813,198",0 (collection page below top 1000),"n/a (product-level: norway-jersey 36 clicks pos 6.57)",n/a (collection),n/a (collection),Year-round; growing,20,High,Stable (proxy),No,"Medium (KD not returned by DFS; volume 720/mo +494% yearly per DFS,Haaland surge)",Tier 2,Q3+ optimization,Medium,52.5,"NEW IN v1.1. **+494% yearly volume trend [DFS]** is the single largest yearly trend in the v1.1 batch; Haaland-driven. Strong product-level GSC signal (norway soccer jersey 36 clicks at pos 6.57 [_top-queries.csv row 165]); 20 products [Phase 2 Task 1]. Collection page absent from top 1000 suggests indexing or content gap.","Haaland-Norway is the v3 player-spotlight test candidate after Messi-Argentina (v1) and Vinicius-Brazil (v2)."
Japan (NEW v1.1),/collections/japan,informational,"n/a per-collection; Apparel category $813,198",0 (collection page below top 1000),n/a (collection),n/a,n/a,WC catalyst + year-round Japanese-American demand,20,High,Stable (proxy),No,"Medium (DataForSEO KD=15 confirmed; volume 4,400/mo +128% quarterly per DFS)",Tier 2,Q3+ optimization,Medium,51.75,"NEW IN v1.1. DataForSEO KD=15 confirmed (moderate; second-highest in batch after Real Madrid jersey KD=5 from v1); volume 4,400/mo +128% quarterly +50% yearly [DFS]. 20 products [Phase 2 Task 1]. Collection page absent from top 1000 means demand exists but ProSoccer isn't capturing; collection optimization opportunity.","Mizuno DTC competition; Japanese-American diaspora strong in CA/HI."
Uruguay (NEW v1.1),/collections/uruguay,transactional,"n/a per-collection; Apparel category $813,198",0 (below top 1000),n/a,n/a,n/a,WC catalyst,20,High,Stable (proxy),No,"Medium (KD not returned by DFS; volume 1,300/mo +400% quarterly +238% yearly per DFS)",Tier 2,Q3+ optimization,Medium,50.25,"NEW IN v1.1. Inventory passes gate (20 products [Phase 2 Task 1]). +400% quarterly trend [DFS] but small absolute base (1,300/mo). Suarez/Cavani aging; rising youth profile.","Borderline Tier 2 (score 50.25 just above 50 threshold); reassess Q3."
Honduras,/collections/honduras,commercial,"n/a per-collection; very small share of Apparel $813,198",120,10465,10.7,1.15%,WC + year-round small-segment demand,6,Low (FAILS 15-product gate),Aged (proxy; 6 products),No,"Medium (volume 1,900/mo +82% quarterly; KD not returned by DFS)",Tier 3 (Supply-Constrained),Wave 1 (metadata-only quick win),High,43.75,"Canonical inventory-gate failure: ranks pos 10.7 with 1.15% CTR on 10,465 impressions [_top-pages.csv row 123] but only 6 products [Phase 2 Task 1];fails the 15-product threshold. Metadata fix is near-zero-effort and ships inside the sprint as a quick win; heavy investment is wasted until inventory deepens.","The ""searchable but not sellable"" rule made tangible. Recommend (a) build inventory before pursuing the ranking, or (b) route demand to a higher-level Hispanic-diaspora category page."
Croatia,/collections/croatia,transactional,"n/a per-collection; Apparel category $813,198",156,24330,18.35,0.64%,WC catalyst,11,Low (FAILS 15-product gate by 4),Stable (proxy),No,"Medium-Low (inferred; small player pool; volume 1,000/mo +190% quarterly per DFS)",Tier 3 (Inventory-Light),Deferred (failing gate),Medium,46.5,"Score sub-50 (45) and inventory below the 15-product gate (11 products [Phase 2 Task 1]); high-intent at pos 18.35 with 24,330 impressions [_top-pages.csv row 94]. Treatment matches Honduras pattern: meta polish only.","Reassess if inventory grows past 15 products. v1.1 update: small refinement to score (45 to 46.5) given DFS trend data."
Morocco (NEW v1.1),/collections/morocco,informational,"n/a per-collection; Apparel category $813,198",0 (below top 1000),n/a,n/a,n/a,WC catalyst,8,Low (FAILS 15-product gate by 7),Stable (proxy),No,"Medium (KD not returned by DFS; volume 1,600/mo -33% quarterly per DFS,declining)",Tier 3 (Inventory-Light),Deferred (failing gate),High,41.5,"NEW IN v1.1. Tier B floor team verified. 8 products [Phase 2 Task 1] fails 15-product gate. v1.1 finding: post-2022 Atlas Lions surge has faded (-33% quarterly trend [DFS]); the Tier B inclusion thesis didn't hold up in current data. No GSC signal in top 1000 pages or queries.","Treatment: meta polish only if any. No heavy investment."
Austria,/collections/austria,transactional,"n/a per-collection; Apparel category $813,198",50,6424,8.84,0.78%,WC catalyst,10,Low (FAILS 15-product gate by 5),Stable (proxy),No,"Medium-Low (inferred)",Tier 3 (Inventory-Light),Deferred (failing gate),Medium,38,"Score sub-50 (38) and inventory below the 15-product gate (10 products [Phase 2 Task 1]); page 1 at pos 8.84 with only 6,424 impressions [_top-pages.csv row 256]; small audience also limits downside.","Treatment matches Honduras pattern: meta polish only, no heavy investment."
Senegal (NEW v1.1),/collections/senegal-national-soccer-team-jerseys-apparel (legacy long-slug; no short-slug exists),transactional,"n/a per-collection; very small share",0 (no GSC signal),0,n/a,n/a,Declining demand,6,Low (FAILS 15-product gate by 9),Stale (proxy),No,"Medium (KD not returned by DFS; volume 1,000/mo -70% quarterly per DFS,sharp decline)",Tier 3 (Legacy Long-Slug),VERITAS investigation,High,37.5,"NEW IN v1.1. Existing long-slug page only [Phase 2 Task 1]; no short-slug equivalent. DataForSEO confirms 1,000/mo volume but -70% quarterly trend (post-2022 surge faded sharply). Per Mike's volume threshold: 1,000/mo is well below the 5K/mo migration urgency line, suggesting deprecation may be acceptable.","VERITAS to decide: (a) migrate URL with 301 to /collections/senegal short-slug, (b) deprecate page entirely, or (c) leave as-is. Likely affects other teams too; VERITAS audit of legacy long-slug patterns recommended."
Chile,/collections/chile,transactional,"n/a per-collection; Apparel category $813,198",88,23646,10.96,0.37%,WC catalyst,unknown (Cloudflare 429 in Phase 2),Unknown,Unknown,No,"Medium-Low (inferred; not in v1.1 DFS batch)",Tier 2,Q3+ optimization,Low,42,"Page 1 at pos 10.96 with 23,646 impressions [_top-pages.csv row 155]; Phase 2 crawl was Cloudflare-rate-limited so inventory state is unknown. Re-crawl needed before firmer tier call.","Page exists and performs; crawl gap is a Technical SEO follow-up. Not in v1.1 DFS batch."
Club Jerseys cluster (v2 candidate),"/collections/jerseys; /collections/official-licensed-jerseys; specific clubs (Real Madrid, Barcelona, Manchester City, Liverpool, Bayern, PSG, Juventus, Inter Miami, LA Galaxy, LAFC)",transactional,"n/a per-cluster; Apparel category $813,198",1283 (jerseys + official-licensed),300810 (jerseys + official-licensed),28.4 (cluster avg),0.43% (cluster avg),Year-round; release-calendar driven,proxy via collection scan,Medium-High (inferred),Stable (proxy),No,"Low to Medium (Real Madrid jersey 74,000/mo volume KD=5 confirmed by DFS)",Tier 2 (v2 expansion),v2 expansion (Q3+),Medium,n/a (cluster row),"Goal 1 explicitly names club jerseys as compounding category [06-business-goals.md]. Real Madrid jersey KD=5 [DFS confirmed 2026-04-26] is more reachable than expected. v2 expansion target Q3 2026.","Splitting into per-club rows in v2 once PDP-readiness audited."
Position-Specific Cleats Content,"/blogs/footwear/best-soccer-cleats-(defenders|midfielders|strikers|wide-feet|kids); /blogs/reviews/2025-best-soccer-cleats-by-field-position",informational + commercial,"Footwear category $978,690 indirect contribution",3027 (6 blog cluster),688436 (6 blog cluster),13.40 (impression-weighted),0.44% (cluster total),Year-round; back-to-school spike Jul-Sep,n/a (content asset),n/a,n/a,No,"Medium (HIGH paid competition; KD not queried; ProSoccer already ranking strong)",Tier 2 (content asset),Year-round (maintenance),High,n/a (cluster row),"Combined 3,027 clicks across 6 position-and-feature blogs already on page 1 or page 2 [_top-pages.csv rows 15, 18, 22, 30, 36, 40]; matches Jennifer's wide-foot pain frame [04-customer-avatars.md] and Tyler's pro-tier specificity. Maintenance posture not heavy-lift. Goalkeeper cleats blog is counted in the separate Goalkeeper cluster row.","Asset cluster, not collection. Cross-feeds Cleats category page work."
Ecuador (net-new collection page candidate),/collections/ecuador (proposed; does not exist),commercial,n/a (no page),0,0,n/a,n/a,Year-round LA-diaspora question,0 (no page),n/a,n/a,n/a,"Unknown (no DFS query run; net-new page question)",Hypothesis (Gap),GSC validation needed,Low,n/a,"No /collections/ecuador exists [Phase 2 Task 1]; question is whether Ecuadorian-diaspora demand exists in GSC at a level that justifies net-new collection page work. Validation requires GSC query-level filter on ""ecuador"" + ""ecuadorian"" + ""tricolor"" against ProSoccer top-queries; not run in this matrix session.","Surface in matrix v2 with GSC validation outcome."
Peru (net-new collection page candidate),/collections/peru (proposed; does not exist),commercial,n/a (no page),0,0,n/a,n/a,Year-round LA-diaspora question,0 (no page),n/a,n/a,n/a,"Unknown (no DFS query run; net-new page question)",Hypothesis (Gap),GSC validation needed,Low,n/a,"No /collections/peru exists [Phase 2 Task 1]; same pattern as Ecuador. Validation requires GSC query check on ""peru"" + ""peruvian"" + ""blanquirroja""; not run in this matrix session.","Pair with Ecuador for v2 decision."
Legacy Long-Slug National Pages (collective),"/collections/(algeria|ghana|sweden|new-zealand|scotland|australia)-national-soccer-team-jerseys-apparel",transactional,"n/a per-page; combined small-segment Apparel share",low individually,low individually,unknown,unknown,Year-round,2-8 each (FAILS 15-product gate),Low,Aged (proxy),No,"Low-Medium (inferred; small)",Tier 3 (Legacy Slug),VERITAS investigation (consolidation),Medium,n/a,"6 long-slug pages on /collections/{country}-national-soccer-team-jerseys-apparel pattern (excluding Senegal which has its own row in v1.1). 2 to 8 products each; all fail 15-product gate. Recommend (a) consolidate to short-slug /collections/{country} where short-slug exists, or (b) noindex.","Senegal moved to dedicated row in v1.1. VERITAS legacy-slug audit owns the cleanup."
